id,type,name,name_zh,name_en,latitude,longitude,elevation,prominence,wikipedia,wikidata,description
12468294792,summit_board,觀音山,觀音山,Guanyinshan,23.9950597,120.9050729,837.76,,,Q31601958,
12468295034,summit_board,觀音山,觀音山,Guanyinshan,23.1668012,120.5166176,312,,,Q31610519,
12468295238,summit_board,觀音山,觀音山,Mt. Guanyin,25.1359166,121.4267179,611,,,,
13397053128,summit_board,觀音山 (小百岳認證點),,,25.1359327,121.4266742,,,,,小百岳認證 #005 八里觀音山
12468291741,summit_board,觀音湖山,觀音湖山,Guanyinhushan,25.0823534,121.7406271,266,,,Q31622746,
12468294021,summit_board,觀音鼻,觀音鼻,Guanyinbi,22.2362507,120.8904611,286.40,,,Q31602000,
12468293342,summit_board,角板山,角板山,Jiaobanshan,24.830335,121.3498663,637.00,,,Q15888327,
12468293403,summit_board,角秀,角秀,Jiaoxiu,22.7836178,120.3652608,78.03,,,,
12468295303,summit_board,角秀山,角秀山,Jiaoxiushan,23.20539,120.339405,48,,,,
12468292639,summit_board,觸口,觸口,Chukou,23.7446253,120.6402362,319,,,,3等衛星控制點MZ39
12468292640,summit_board,觸口山,觸口山,Chukoushan,23.7450429,120.6417771,,,,Q31609153,
12468295040,summit_board,詩崙山,詩崙山,Shilunshan,24.4395646,121.3148943,3194,,,,
12468293236,summit_board,詩朗山,詩朗山,Shilangshan,24.8565238,121.3805072,652,,,,
12468292962,summit_board,論劍山,論劍山,Lunjianshan,25.0949253,121.5699903,266,,,,
12468294810,summit_board,論外山,論外山,Lunwaishan,24.1064433,121.5721408,1120.12,,,Q31600841,
12468293544,summit_board,谷大坑山,谷大坑山,Gudakengshan,24.1940324,120.7739711,370.60,,,,
12468292636,summit_board,豎嶺山,豎嶺山,Shulingshan,25.1121588,121.6575434,,,,,
12468291995,summit_board,豎旗山,豎旗山,Shuqishan,24.9479664,121.8137606,813,,,Q31593786,
